DOMAIN,SORT CODE,INDICATOR,TERESA NOTE (DATA PROVENANCE),ROB CATALOGUE NOTE,PREP MEETING NOTES,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,notes JM,notes GH,notes TB,notes CL,notes MW,notes SC,notes RB
DEMOGRAPHICS,DEMO1,Estimated population aged 65 years and over by sex and year ('000),PEA01,,? Remove because this is estimated (Projected inter-censal years?),1,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
DEMOGRAPHICS,DEMO2,Projected population aged 65 years and over by age group and year using the M2 projection scenario ('000),PEC23C01,,Possibly keep instead of DEMO9,1,1,1,1,3,1,2,2,1,1,1,1,1,,,Clarification required between this indicator and the one below A10 (number and proportion of 65+ population (projected),,,,
DEMOGRAPHICS,DEMO3,Projected Dependency Ratios from 2022,PEC22C01,,,1,1,1,2,1,1,0,3,1,1,3,3,1,,,,,,,Not clear to me what this is or means
DEMOGRAPHICS,DEMO4,"Cumulative percentage increase in population, all ages and 65+ for Ireland and EU−27, 2013 to 2022",Eurostat,,Is it useful at IHA? A little outdated - could put in percentage population change since last Census instead of this,2,1,2,4,2,3,2,3,1,3,3,1,1,,,"uncertain of the value of this indicator given the timeframe is 2013-2022; although a comapartive between 65+ populations across EU countries may be valuable at a national level, I'm uncertain how it can add value at IHA level.",,,,
DEMOGRAPHICS,DEMO5,Deprivation distribution by 8-point Pobal HP index for those aged 65 and over,Core Indicator List,,,1,1,1,1,1,1,1,1,1,1,2,2,1,,,,,,,
DEMOGRAPHICS,DEMO6,Ethnicity of those aged 65+ ,Core Indicator List,,,1,1,1,1,1,1,2,1,1,1,1,2,1,,,,,,,
DEMOGRAPHICS,DEMO7,Speakers of foreign language by ability to speak English for those aged 65+,Core Indicator List,,,2,1,1,2,3,1,2,2,2,1,4,2,1,,,,,,,
DEMOGRAPHICS,DEMO8,Number and proportion of population aged 65 years and over,Core Indicator List,,,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,Proportion to total population? ,Seems to overlap with row 2
DEMOGRAPHICS,DEMO9,Number and proportion of population aged 65 years and over (projected),Core Indicator List,,Similar to DEMO2? But DEMO9 is not very clear and DEMO2 may be clearer and more specific,1,1,1,3,1,2,2,2,1,1,1,1,1,,,,,,Proportion to total population? ,
DEMOGRAPHICS,DEMO10,Population aged 65+ years by ability to speak Irish,Health Atlas Ireland (HAI) Census parameters,,,3,2,2,3,3,2,3,3,2,2,3,3,2,,,,,,,
