Status (included or 'maybe included'),DOMAIN,SORT CODE,STEPHEN CODE,INDICATOR,NOTES Thur 26th June - 2nd refinement for Delphi,DEFINITIONS/What we mean,RESPONDENT 1,RESPONDENT 2,RESPONDENT 3,RESPONDENT 4,RESPONDENT 5,RESPONDENT 6,RESPONDENT 7,RESPONDENT 8,RESPONDENT 9,RESPONDENT 10,RESPONDENT 11,RESPONDENT 12,RESPONDENT 13,Sum,Denominator,Score,Number of 1 scores,Number of 2 scores,Number of 3 scores,Number of 4 scores,
duplicate,DEMOGRAPHICS,DEMO1,,Estimated population aged 65 years and over by sex and year ('000),This is a duplicate - delete it ,,1,2,1,1,1,1,1,1,1,1,1,1,1,14,13,1.08,12,1,0,0,
included,DEMOGRAPHICS,DEMO8,Population demographics,Number and proportion of population aged 65 years and over,,The total number and percentage of people in the population who are aged 65 years or older.,1,1,1,1,1,2,1,1,1,1,1,1,1,14,13,1.08,12,1,0,0,
included,VULNERABLE GROUPS,VULN2,Living arrangements,Number of homeless persons aged 65 years and over,,The number of people aged 65 years and over who are in accomodation designated for the homeless or sleeping rough. ,1,1,1,1,1,1,1,1,1,1,1,1,2,14,13,1.08,12,1,0,0,
included,VULNERABLE GROUPS,VULN3,Population demographics,Number of Travellers aged 65 years and over,,The number of people from the Traveller community who are aged 65 years or older.,1,1,1,1,1,1,1,1,1,1,1,1,2,14,13,1.08,12,1,0,0,
included,HEALTHCARE USE,HUSE35,Home and community supports,Percentage of older adults (65 years and over) who are in receipt of home care package,,"The percentage of adults aged 65 years or over receiving organised care services in their own home, such as personal care or nursing.",1,1,1,1,1,1,1,1,4,1,1,1,1,16,13,1.23,12,0,0,1,
included,DEMOGRAPHICS,DEMO5,Socioeconomic status,Deprivation distribution by 8-point Pobal HP index for those aged 65 and over,,"How adults aged 65 years and over are spread across different levels of social and economic disadvantage in an area, based on the Pobal HP Deprivation Index.  The Pobal HP Deprivation Index is Ireland's primary social gradient tool.  Based on the latest Census information (in this case Census 2022) it reveals the profile of communities across Ireland. The Pobal HP Deprivation Index uses data from Census 2022, analysing ten measures of an area’s levels of disadvantage. These include educational attainment, employment status and the numbers living in individual households.",1,1,1,1,1,1,1,1,1,1,2,2,1,15,13,1.15,11,2,0,0,
included,DEMOGRAPHICS,DEMO6,Population demographics,Ethnicity of those aged 65 years and over,,The ethnic background or identity of people aged 65 years and over.,1,1,1,1,1,1,2,1,1,1,1,2,1,15,13,1.15,11,2,0,0,
included,HEALTH BEHAVIOURS,BEHV15,"Smoking, alcohol and lifestyle",Persons who smoke: Proportion of population aged 65 years and over who smoked tobacco. (Displayed as: Yes - daily;  Yes - occasionally; No - have given up smoking; Never),ok to leave in reference to 'Displayed as: Yes - daily;  Yes - occasionally; No - have given up smoking; Never)_,"The percentage of  people  aged 65 years and over who currently smoke, used to smoke, or have never smoked.",1,1,1,2,1,1,1,1,1,1,1,1,2,15,13,1.15,11,2,0,0,
included,HEALTH STATUS,STAT39,Falls and mobility,Percentage of older adults (aged 65 years and over) who reported a fall in the previous two years,,The proportion of adults aged 65 years and over who said they had a fall or trip in the last two years.,1,1,1,2,1,1,1,1,1,1,1,2,1,15,13,1.15,11,2,0,0,
included,HEALTHCARE USE,HUSE42,Hospital admissions,Number of inpatient stays in older adults aged 65 years and over in the last year,,The number of times people aged 65 years and over were admitted to hospital and stayed overnight in the past year.,2,1,1,1,1,1,2,1,1,1,1,1,1,15,13,1.15,11,2,0,0,
